"state","full","lyme9296","lyme9701","lyme0206","lyme0711","temp9296","temp9701","temp0206","temp0711","prec9296","prec9701","prec0206","prec0711"
"LA","Louisiana",32,53,18,8,76.6358170812274,77.9677346326734,77.5883175343189,77.4724503309854,42.6713708027422,40.5064350131562,40.400905052847,38.1143866531225
"MA","Massachusetts",1128,4099,6140,4153,58.6786939544587,60.2189154632629,59.1280669149199,59.7288478687641,33.6429783484831,32.1981076657198,38.2940158859929,38.1798042634818
"MD","Maryland",1605,3348,4803,4449,63.7543966770718,65.9615555588274,65.2382409926059,65.4537630239127,32.5139876249106,29.0420080582328,34.4291330698206,32.1943543709733
"ME","Maine",175,332,1204,3460,51.9383569191156,53.5517998250244,52.7248120905431,53.0496086134718,30.1516969722044,28.5515531585674,32.9140291050915,35.278932179351
"MI","Michigan",124,99,182,373,53.5362252599926,56.1871308962965,55.4452523463754,55.2836543974895,24.4901103010697,23.1842770706846,23.4917795617088,24.6454274803793
"MN","Minnesota",1005,1726,4195,5825,51.364315822076,54.198238193411,54.0618840663207,52.4788050492041,21.2429638719507,21.1463328419909,20.4484851729072,21.5952284487697
"MO","Missouri",465,196,156,28,64.6130306576152,66.2363735062119,66.3998356891342,65.4243779359364,32.0506564214654,29.2126607629866,28.1726069773441,36.1297766483307
"MS","Mississippi",41,59,36,5,74.2852288006203,75.6972179514885,75.1874151303272,75.3653255021186,41.4629890859747,40.0812308425334,41.4937114737893,36.8094093860631
"MT","Montana",0,0,0,0,53.3730463833063,54.9018404184531,54.6894499754485,53.6456620989455,15.6115195313323,13.8434405538767,14.2335455246468,17.1258848789156
"NC","North Carolina",380,259,495,129,69.2208277643092,70.2473286626205,69.8082051947877,70.2041425329241,37.3408097086869,32.9231918727634,37.6995458306906,34.0114741594845
"ND","North Dakota",5,3,11,73,50.7311205542005,53.6230482706852,53.6882971357381,51.4477092799903,13.6811340188106,13.7100844930267,12.6450204964335,20.8514944107765
"NE","Nebraska",42,26,23,33,60.7232166445792,63.3455611522803,63.8622637512808,61.4350396723364,19.4488520157665,16.8744807351169,15.4627798621539,20.3591826460496
"NH","New Hampshire",164,324,1559,1555,53.8656081015455,55.2278660728251,54.5502869336339,54.640799879935,30.5705464569057,30.353954599515,35.5336135274435,36.8319631707124
"NJ","New Jersey",3958,5710,7446,8183,63.0363451361385,64.4481465383997,64.0221829904123,63.7713613992,33.2783999074795,30.2828182986007,36.8381093602689,36.3460839731152
"NM","New Mexico",11,7,9,15,67.8746135929839,68.2377443930178,68.3916261027999,68.0874821434933,10.9014152562784,10.9204968049158,10.2013966627731,11.0739099560274
"NV","Nevada",15,18,13,39,63.4700290038907,63.589826010202,63.8475583841277,63.233455381465,10.5327595260971,9.85072189134835,9.78036636932915,9.55410158172932
"NY","New York",3550,3558,5386,8112,56.0998133030493,57.7313757228143,57.2983683283379,57.4079743151372,29.6793675081105,27.3557638929677,32.8242803364395,34.1987785424815
"OH","Ohio",169,239,299,181,60.1656480405677,61.9432920870568,61.3747543827986,61.4904502188461,28.3543674591929,26.8259919425421,30.3990738638013,31.4800928848797
"OK","Oklahoma",250,67,3,6,71.773005522459,72.6684296148045,72.6582662651031,71.1364992140355,27.3524416675017,25.5085822973194,22.4770636533802,26.7721813983871
"OR","Oregon",66,84,49,52,59.229989659615,58.7766435432998,59.6995070020086,57.9026482435424,31.651176082384,29.3964429229208,28.048510555756,28.2791592914625
"PA","Pennsylvania",4398,5238,7531,11360,59.7963164590354,61.6175963863089,60.7992528148131,60.7148575321575,31.3504858766002,27.0835450916579,33.4196761060866,32.926574822596
"RI","Rhode Island",589,1158,1123,739,59.6077995749917,61.1478956209297,60.1879397805653,60.7426715472715,34.3935545968361,34.2647705666592,37.7378711716553,39.1839150698161
"SC","South Carolina",44,48,101,113,73.1003892125046,74.234120236142,73.7261073599977,74.1778685831293,37.6715016261755,31.8600644349387,35.0877645536293,31.4619593057358
"SD","South Dakota",1,1,7,7,55.758385444889,58.5760435664712,59.3857538772692,56.6303842092374,16.9812998120352,15.724504588646,13.065454660424,17.1686903415618
"TN","Tennessee",116,210,91,59,67.915703933203,69.4560526379008,69.1515544068966,69.4589110046189,38.4457579447561,36.4510964410559,38.7870013196725,37.6465406412107
"TX","Texas",391,316,420,363,77.6001944577486,78.4903069194104,78.1638167159457,78.6173935586625,22.9751948237438,23.2579973544778,22.4069864910071,21.1155222415303
"UT","Utah",13,7,15,25,70.5502525836111,59.3176998069904,59.2360597813564,58.0169843767185,15.3544728569978,14.8592075531564,14.2316122336994,14.9971023412594
"VA","Virginia",461,567,1301,4210,66.1509376393059,67.5612629355779,67.127686641488,67.519558336719,32.9611229334915,27.9211767592604,33.5324805787511,30.6346115394043
"VT","Vermont",72,103,289,1538,52.283329153433,54.4754885871451,53.5484839356777,53.9343439652217,30.9528731725689,30.4117327845777,34.0148941466655,35.8494868974041
"WA","Washington",55,50,53,78,57.1173211503396,56.8205412104298,57.5977653575653,55.4710578986559,35.5259195108563,36.752967175667,33.7263844803745,34.4702663765603
"WI","Wisconsin",2100,2855,5899,10172,52.7486568106071,55.6293139836247,55.2038553472276,54.0574442380006,23.283087958681,23.4575774816877,22.2072058922881,24.1728019900077
"WV","West Virginia",131,94,184,582,62.3827593969365,63.8358019293952,63.325961598957,63.2715151966031,32.8468513938188,29.0574516411303,34.6411292210015,32.8780770476543
"WY","Wyoming",26,11,12,6,51.9800143614208,52.783935993822,53.2974611082533,52.2217597822504,15.4448926313111,14.3941286175741,13.2499669745486,15.2081276876146
