 StateCode ,CountyCode,StateName,CountyName,ConfirmedCount_1992_1996,ConfirmedCount_1997_2001,ConfirmedCount_2002_2006,ConfirmedCount_2007_2011
1,85,Alabama,Lowndes County,,,,
1,87,Alabama,Macon County,,,,
1,89,Alabama,Madison County,3.00,7.00,13.00,5.00
1,91,Alabama,Marengo County,,,,1.00
1,93,Alabama,Marion County,,1.00,1.00,
1,95,Alabama,Marshall County,,2.00,,1.00
1,97,Alabama,Mobile County,15.00,16.00,5.00,3.00
1,99,Alabama,Monroe County,,,,
1,101,Alabama,Montgomery County,,2.00,3.00,1.00
1,103,Alabama,Morgan County,1.00,,,1.00
1,105,Alabama,Perry County,,,,
1,107,Alabama,Pickens County,,,,
1,109,Alabama,Pike County,,1.00,,
1,111,Alabama,Randolph County,,,,
1,113,Alabama,Russell County,,,,
1,115,Alabama,St. Clair County,,,,1.00
1,117,Alabama,Shelby County,1.00,2.00,,1.00
1,119,Alabama,Sumter County,,,,
1,121,Alabama,Talladega County,,,1.00,
1,123,Alabama,Tallapoosa County,,4.00,,1.00
1,125,Alabama,Tuscaloosa County,1.00,3.00,1.00,
1,127,Alabama,Walker County,,,,
1,129,Alabama,Washington County,1.00,1.00,,
1,131,Alabama,Wilcox County,,,,
1,133,Alabama,Winston County,1.00,1.00,,
2,0,Alaska,Alaska,,,,
2,13,Alaska,Aleutians East Borough,,,,
2,16,Alaska,Aleutians West Census Area,,,,
2,20,Alaska,Anchorage Municipality,,3.00,6.00,10.00
2,50,Alaska,Bethel Census Area,,,,1.00
2,60,Alaska,Bristol Bay Borough,,,,
2,68,Alaska,Denali Borough,,,,
2,70,Alaska,Dillingham Census Area,,,,1.00
2,90,Alaska,Fairbanks North Star Borough,,2.00,2.00,2.00
2,100,Alaska,Haines Borough,,,,
2,105,Alaska,Hoonah-Angoon Census Area,,,,
2,110,Alaska,Juneau City and Borough,,,2.00,1.00
2,122,Alaska,Kenai Peninsula Borough,,,1.00,7.00
2,130,Alaska,Ketchikan Gateway Borough,,,1.00,3.00
2,150,Alaska,Kodiak Island Borough,,,,1.00
2,164,Alaska,Lake and Peninsula Borough,,,,
2,170,Alaska,Matanuska-Susitna Borough,,,1.00,10.00
2,180,Alaska,Nome Census Area,,,,
2,185,Alaska,North Slope Borough,,,,
2,188,Alaska,Northwest Arctic Borough,,,,
2,195,Alaska,Petersburg Census Area,,,,
2,198,Alaska,Prince of Wales-Hyder Census Area,,,,
2,220,Alaska,Sitka City and Borough,,1.00,1.00,2.00
2,230,Alaska,Skagway Municipality,,,,
2,240,Alaska,Southeast Fairbanks Census Area,,1.00,1.00,
2,261,Alaska,Valdez-Cordova Census Area,,,1.00,1.00
2,270,Alaska,Wade Hampton Census Area,,,,
2,275,Alaska,Wrangell City and Borough,,,,
2,282,Alaska,Yakutat City and Borough,,,,
2,290,Alaska,Yukon-Koyukuk Census Area,,,,
4,0,Arizona,Arizona,,,,
4,1,Arizona,Apache County,,,,
4,3,Arizona,Cochise County,,,,1.00
4,5,Arizona,Coconino County,,1.00,1.00,2.00
4,7,Arizona,Gila County,,1.00,,
4,9,Arizona,Graham County,,,1.00,
4,11,Arizona,Greenlee County,,,,
4,12,Arizona,La Paz County,,,,
4,13,Arizona,Maricopa County,,7.00,27.00,8.00
4,15,Arizona,Mohave County,,1.00,,
4,17,Arizona,Navajo County,,1.00,,1.00
4,19,Arizona,Pima County,1.00,1.00,9.00,3.00
4,21,Arizona,Pinal County,,1.00,2.00,1.00
4,23,Arizona,Santa Cruz County,,,,
4,25,Arizona,Yavapai County,,,1.00,1.00
4,27,Arizona,Yuma County,,,,
5,0,Arkansas,Arkansas,,,,
5,1,Arkansas,Arkansas County,,1.00,,
5,3,Arkansas,Ashley County,,,,
5,5,Arkansas,Baxter County,1.00,,,
5,7,Arkansas,Benton County,5.00,4.00,1.00,1.00
5,9,Arkansas,Boone County,1.00,2.00,,
5,11,Arkansas,Bradley County,,,,
5,13,Arkansas,Calhoun County,,,,
5,15,Arkansas,Carroll County,,,,
5,17,Arkansas,Chicot County,,,,
5,19,Arkansas,Clark County,,,,
5,21,Arkansas,Clay County,,1.00,,
5,23,Arkansas,Cleburne County,2.00,3.00,,
5,25,Arkansas,Cleveland County,1.00,,,
5,27,Arkansas,Columbia County,1.00,1.00,,
5,29,Arkansas,Conway County,,,,
5,31,Arkansas,Craighead County,1.00,4.00,,
5,33,Arkansas,Crawford County,1.00,3.00,,
5,35,Arkansas,Crittenden County,,1.00,,
5,37,Arkansas,Cross County,,,,
5,39,Arkansas,Dallas County,,,,
5,41,Arkansas,Desha County,,,,
5,43,Arkansas,Drew County,,,,
5,45,Arkansas,Faulkner County,4.00,3.00,,
5,47,Arkansas,Franklin County,1.00,1.00,,
5,49,Arkansas,Fulton County,1.00,,,
5,51,Arkansas,Garland County,5.00,3.00,,
5,53,Arkansas,Grant County,1.00,,,
5,55,Arkansas,Greene County,,1.00,,
5,57,Arkansas,Hempstead County,,,,
5,59,Arkansas,Hot Spring County,,,1.00,
5,61,Arkansas,Howard County,2.00,,,
5,63,Arkansas,Independence County,2.00,,,
5,65,Arkansas,Izard County,,1.00,,
5,67,Arkansas,Jackson County,,,,
5,69,Arkansas,Jefferson County,2.00,,,
5,71,Arkansas,Johnson County,4.00,1.00,,
5,73,Arkansas,Lafayette County,,,,
5,75,Arkansas,Lawrence County,1.00,2.00,,
5,77,Arkansas,Lee County,,,,
5,79,Arkansas,Lincoln County,,,,
5,81,Arkansas,Little River County,,,,
5,83,Arkansas,Logan County,2.00,,,
5,85,Arkansas,Lonoke County,2.00,1.00,,
5,87,Arkansas,Madison County,,,,
5,89,Arkansas,Marion County,1.00,,,
5,91,Arkansas,Miller County,,2.00,,
5,93,Arkansas,Mississippi County,,,,
5,95,Arkansas,Monroe County,,,,
5,97,Arkansas,Montgomery County,1.00,,,
5,99,Arkansas,Nevada County,1.00,,,
5,101,Arkansas,Newton County,,1.00,,
5,103,Arkansas,Ouachita County,,,,
5,105,Arkansas,Perry County,,,,
5,107,Arkansas,Phillips County,1.00,,,
5,109,Arkansas,Pike County,1.00,1.00,,
5,111,Arkansas,Poinsett County,1.00,,,
5,113,Arkansas,Polk County,1.00,,,
5,115,Arkansas,Pope County,4.00,1.00,,
5,117,Arkansas,Prairie County,,,,
5,119,Arkansas,Pulaski County,16.00,3.00,,
5,121,Arkansas,Randolph County,2.00,1.00,,
5,123,Arkansas,St. Francis County,1.00,1.00,,
5,125,Arkansas,Saline County,2.00,3.00,1.00,
5,127,Arkansas,Scott County,,,,
5,129,Arkansas,Searcy County,,2.00,,
5,131,Arkansas,Sebastian County,2.00,,,
5,133,Arkansas,Sevier County,,1.00,,
5,135,Arkansas,Sharp County,1.00,,,
5,137,Arkansas,Stone County,1.00,1.00,,
5,139,Arkansas,Union County,1.00,,,
5,141,Arkansas,Van Buren County,1.00,1.00,,
5,143,Arkansas,Washington County,3.00,,,
5,145,Arkansas,White County,,2.00,,
5,147,Arkansas,Woodruff County,,,,
5,149,Arkansas,Yell County,,,,
6,0,California,California,,,,
6,1,California,Alameda County,15.00,19.00,17.00,16.00
6,3,California,Alpine County,,,,
6,5,California,Amador County,,2.00,1.00,3.00
6,7,California,Butte County,9.00,88.00,8.00,7.00
6,9,California,Calaveras County,1.00,1.00,,
6,11,California,Colusa County,,,,
6,13,California,Contra Costa County,10.00,15.00,12.00,6.00
6,15,California,Del Norte County,5.00,2.00,2.00,2.00
6,17,California,El Dorado County,6.00,6.00,9.00,7.00
6,19,California,Fresno County,6.00,1.00,2.00,6.00
6,21,California,Glenn County,5.00,4.00,,2.00
6,23,California,Humboldt County,35.00,67.00,32.00,36.00
6,25,California,Imperial County,,1.00,,
6,27,California,Inyo County,,1.00,1.00,
6,29,California,Kern County,10.00,8.00,6.00,11.00
6,31,California,Kings County,,,,2.00
6,33,California,Lake County,16.00,5.00,3.00,1.00
6,35,California,Lassen County,,5.00,1.00,
6,37,California,Los Angeles County,20.00,27.00,34.00,41.00
6,39,California,Madera County,1.00,1.00,,1.00
6,41,California,Marin County,22.00,20.00,17.00,13.00
6,43,California,Mariposa County,1.00,,2.00,
6,45,California,Mendocino County,72.00,37.00,19.00,38.00
6,47,California,Merced County,,4.00,1.00,1.00
6,49,California,Modoc County,,,,
6,51,California,Mono County,3.00,1.00,4.00,1.00
6,53,California,Monterey County,7.00,7.00,7.00,2.00
6,55,California,Napa County,4.00,10.00,3.00,6.00
6,57,California,Nevada County,19.00,25.00,13.00,13.00
6,59,California,Orange County,10.00,6.00,8.00,16.00
6,61,California,Placer County,7.00,16.00,10.00,6.00
6,63,California,Plumas County,7.00,4.00,,
6,65,California,Riverside County,10.00,5.00,8.00,11.00
6,67,California,Sacramento County,2.00,14.00,17.00,4.00
6,69,California,San Benito County,,1.00,1.00,1.00
6,71,California,San Bernardino County,12.00,2.00,1.00,5.00
6,73,California,San Diego County,27.00,32.00,30.00,33.00
6,75,California,San Francisco County,10.00,14.00,21.00,20.00
6,77,California,San Joaquin County,4.00,2.00,,3.00
6,79,California,San Luis Obispo County,5.00,3.00,1.00,2.00
6,81,California,San Mateo County,12.00,17.00,15.00,15.00
6,83,California,Santa Barbara County,8.00,5.00,7.00,19.00
6,85,California,Santa Clara County,15.00,16.00,21.00,17.00
6,87,California,Santa Cruz County,16.00,21.00,17.00,26.00
6,89,California,Shasta County,11.00,4.00,5.00,6.00
6,91,California,Sierra County,,,,1.00
6,93,California,Siskiyou County,2.00,3.00,1.00,1.00
6,95,California,Solano County,2.00,2.00,,1.00
6,97,California,Sonoma County,87.00,53.00,32.00,40.00
6,99,California,Stanislaus County,5.00,4.00,1.00,3.00
6,101,California,Sutter County,2.00,3.00,,
6,103,California,Tehama County,2.00,4.00,1.00,1.00
6,105,California,Trinity County,35.00,16.00,8.00,3.00
6,107,California,Tulare County,9.00,4.00,,7.00
6,109,California,Tuolumne County,3.00,2.00,3.00,
6,111,California,Ventura County,3.00,7.00,5.00,13.00
6,113,California,Yolo County,3.00,,4.00,1.00
6,115,California,Yuba County,5.00,2.00,,1.00
8,0,Colorado,Colorado,,1.00,,
8,1,Colorado,Adams County,,,,
8,3,Colorado,Alamosa County,,,,
8,5,Colorado,Arapahoe County,,,,1.00
8,7,Colorado,Archuleta County,,,,
8,9,Colorado,Baca County,,,,
8,11,Colorado,Bent County,,,,
8,13,Colorado,Boulder County,,2.00,,
8,14,Colorado,Broomfield County,,,,
8,15,Colorado,Chaffee County,,,,
8,17,Colorado,Cheyenne County,,,,
8,19,Colorado,Clear Creek County,,,,
8,21,Colorado,Conejos County,,,,
8,23,Colorado,Costilla County,,,,
8,25,Colorado,Crowley County,,,,
8,27,Colorado,Custer County,,,,
8,29,Colorado,Delta County,,,,
8,31,Colorado,Denver County,,,,2.00
8,33,Colorado,Dolores County,,,,
8,35,Colorado,Douglas County,,,,
8,37,Colorado,Eagle County,,,,
8,39,Colorado,Elbert County,,,,
8,41,Colorado,El Paso County,,,,
8,43,Colorado,Fremont County,,,,
8,45,Colorado,Garfield County,,,,
8,47,Colorado,Gilpin County,,,,
8,49,Colorado,Grand County,,,,
8,51,Colorado,Gunnison County,,,,
8,53,Colorado,Hinsdale County,,,,
8,55,Colorado,Huerfano County,,,,
8,57,Colorado,Jackson County,,,,
8,59,Colorado,Jefferson County,,,,
8,61,Colorado,Kiowa County,,,,
8,63,Colorado,Kit Carson County,,,,
8,65,Colorado,Lake County,,,,
8,67,Colorado,La Plata County,,,,
8,69,Colorado,Larimer County,,,,
8,71,Colorado,Las Animas County,,,,
8,73,Colorado,Lincoln County,,,,
8,75,Colorado,Logan County,,,,
8,77,Colorado,Mesa County,,,,
8,79,Colorado,Mineral County,,,,
8,81,Colorado,Moffat County,,,,
8,83,Colorado,Montezuma County,,,,
8,85,Colorado,Montrose County,,,,
8,87,Colorado,Morgan County,,,,
8,89,Colorado,Otero County,,,,
8,91,Colorado,Ouray County,,,,
8,93,Colorado,Park County,,,,
8,95,Colorado,Phillips County,,,,
8,97,Colorado,Pitkin County,,,1.00,
8,99,Colorado,Prowers County,,,,
8,101,Colorado,Pueblo County,,,,
8,103,Colorado,Rio Blanco County,,,,
8,105,Colorado,Rio Grande County,,,,
8,107,Colorado,Routt County,1.00,,,
8,109,Colorado,Saguache County,,,,
8,111,Colorado,San Juan County,,,,
8,113,Colorado,San Miguel County,,,,
8,115,Colorado,Sedgwick County,,,,
8,117,Colorado,Summit County,,,,
8,119,Colorado,Teller County,,,,
8,121,Colorado,Washington County,,,,
8,123,Colorado,Weld County,,,,
8,125,Colorado,Yuma County,,,,
9,0,Connecticut,Connecticut,702.00,576.00,323.00,3944.00
9,1,Connecticut,Fairfield County,2384.00,4842.00,2759.00,1750.00
9,3,Connecticut,Hartford County,452.00,984.00,653.00,981.00
9,5,Connecticut,Litchfield County,483.00,1777.00,1892.00,792.00
9,7,Connecticut,Middlesex County,1448.00,1124.00,567.00,619.00
9,9,Connecticut,New Haven County,971.00,1870.00,1038.00,1377.00
9,11,Connecticut,New London County,1999.00,2362.00,1621.00,1395.00
9,13,Connecticut,Tolland County,667.00,1131.00,880.00,987.00
9,15,Connecticut,Windham County,686.00,1650.00,1247.00,670.00
10,0,Delaware,Delaware,56.00,1.00,132.00,148.00
10,1,Delaware,Kent County,77.00,115.00,505.00,708.00
10,3,Delaware,New Castle County,525.00,469.00,962.00,2447.00
10,5,Delaware,Sussex County,39.00,87.00,274.00,591.00
11,0,District of Columbia,District of Columbia,17.00,,,
11,1,District of Columbia,District of Columbia,3.00,52.00,127.00,274.00
12,0,Florida,Florida,1.00,,,
12,1,Florida,Alachua County,3.00,1.00,6.00,3.00
12,3,Florida,Baker County,,,1.00,
12,5,Florida,Bay County,4.00,1.00,1.00,1.00
12,7,Florida,Bradford County,,,,
12,9,Florida,Brevard County,3.00,12.00,4.00,10.00
12,11,Florida,Broward County,5.00,2.00,2.00,8.00
12,13,Florida,Calhoun County,1.00,1.00,,
12,15,Florida,Charlotte County,1.00,,8.00,4.00
12,17,Florida,Citrus County,1.00,3.00,8.00,7.00
12,19,Florida,Clay County,3.00,4.00,1.00,
12,21,Florida,Collier County,5.00,6.00,3.00,2.00
12,23,Florida,Columbia County,,,1.00,
12,27,Florida,DeSoto County,1.00,1.00,,1.00
12,29,Florida,Dixie County,1.00,,,
12,31,Florida,Duval County,9.00,5.00,6.00,9.00
12,33,Florida,Escambia County,4.00,7.00,4.00,5.00
12,35,Florida,Flagler County,,3.00,1.00,7.00
12,37,Florida,Franklin County,,1.00,,1.00
12,39,Florida,Gadsden County,1.00,,,
12,41,Florida,Gilchrist County,,,1.00,
12,43,Florida,Glades County,,,,
12,45,Florida,Gulf County,,,,
12,47,Florida,Hamilton County,,,,
12,49,Florida,Hardee County,,1.00,,1.00
12,51,Florida,Hendry County,1.00,,,
12,53,Florida,Hernando County,1.00,6.00,,6.00
12,55,Florida,Highlands County,,1.00,2.00,2.00
12,57,Florida,Hillsborough County,3.00,16.00,15.00,20.00
12,59,Florida,Holmes County,,2.00,,
12,61,Florida,Indian River County,1.00,13.00,8.00,5.00
12,63,Florida,Jackson County,1.00,,,
12,65,Florida,Jefferson County,,,,
12,67,Florida,Lafayette County,,,,
12,69,Florida,Lake County,11.00,7.00,4.00,
12,71,Florida,Lee County,9.00,13.00,9.00,28.00
12,73,Florida,Leon County,3.00,4.00,3.00,1.00
12,75,Florida,Levy County,1.00,,,1.00
12,77,Florida,Liberty County,,,,
12,79,Florida,Madison County,,,,
12,81,Florida,Manatee County,1.00,7.00,6.00,10.00
12,83,Florida,Marion County,8.00,2.00,4.00,14.00
12,85,Florida,Martin County,5.00,8.00,6.00,10.00
12,86,Florida,Miami-Dade County,6.00,20.00,15.00,19.00
12,87,Florida,Monroe County,1.00,3.00,3.00,2.00
12,89,Florida,Nassau County,4.00,3.00,7.00,1.00
12,91,Florida,Okaloosa County,3.00,9.00,3.00,1.00
12,93,Florida,Okeechobee County,1.00,,,
12,95,Florida,Orange County,9.00,10.00,11.00,15.00
12,97,Florida,Osceola County,3.00,3.00,5.00,1.00
12,99,Florida,Palm Beach County,4.00,22.00,25.00,30.00
12,101,Florida,Pasco County,3.00,1.00,10.00,9.00
12,103,Florida,Pinellas County,6.00,37.00,27.00,24.00
12,105,Florida,Polk County,3.00,,2.00,9.00
12,107,Florida,Putnam County,3.00,3.00,2.00,
12,109,Florida,St. Johns County,4.00,6.00,1.00,5.00
12,111,Florida,St. Lucie County,1.00,1.00,2.00,3.00
12,113,Florida,Santa Rosa County,2.00,3.00,,5.00
12,115,Florida,Sarasota County,5.00,14.00,20.00,14.00
12,117,Florida,Seminole County,1.00,4.00,4.00,3.00
12,119,Florida,Sumter County,2.00,3.00,,5.00
12,121,Florida,Suwannee County,1.00,1.00,,
12,123,Florida,Taylor County,,1.00,,
12,125,Florida,Union County,,,,
12,127,Florida,Volusia County,3.00,6.00,7.00,10.00
12,129,Florida,Wakulla County,,5.00,,
12,131,Florida,Walton County,,1.00,1.00,1.00
12,133,Florida,Washington County,1.00,,,
13,0,Georgia,Georgia,11.00,9.00,,1.00
13,1,Georgia,Appling County,,,,1.00
13,3,Georgia,Atkinson County,,,,
13,5,Georgia,Bacon County,,,,
13,7,Georgia,Baker County,,,,
13,9,Georgia,Baldwin County,4.00,,,1.00
13,11,Georgia,Banks County,,1.00,,
13,13,Georgia,Barrow County,,,,
13,15,Georgia,Bartow County,2.00,,,1.00
13,17,Georgia,Ben Hill County,,,,
13,19,Georgia,Berrien County,,,,
13,21,Georgia,Bibb County,9.00,,,1.00
13,23,Georgia,Bleckley County,,,,
13,25,Georgia,Brantley County,1.00,,,
13,27,Georgia,Brooks County,,,,
13,29,Georgia,Bryan County,1.00,,,
13,31,Georgia,Bulloch County,,,,1.00
13,33,Georgia,Burke County,,,,
13,35,Georgia,Butts County,1.00,,,2.00
13,37,Georgia,Calhoun County,,,,
13,39,Georgia,Camden County,1.00,,,1.00
13,43,Georgia,Candler County,23.00,,,
13,45,Georgia,Carroll County,8.00,,,1.00
13,47,Georgia,Catoosa County,,,,
13,49,Georgia,Charlton County,,,,
13,51,Georgia,Chatham County,8.00,,1.00,4.00
13,53,Georgia,Chattahoochee County,,,,
13,55,Georgia,Chattooga County,,,,
13,57,Georgia,Cherokee County,,,2.00,
13,59,Georgia,Clarke County,3.00,,,1.00
13,61,Georgia,Clay County,,,,
13,63,Georgia,Clayton County,2.00,,1.00,
13,65,Georgia,Clinch County,,,,
13,67,Georgia,Cobb County,8.00,2.00,6.00,11.00
13,69,Georgia,Coffee County,1.00,,,
13,71,Georgia,Colquitt County,,,,
13,73,Georgia,Columbia County,2.00,,,
13,75,Georgia,Cook County,1.00,,,
13,77,Georgia,Coweta County,2.00,,1.00,3.00
13,79,Georgia,Crawford County,,,,1.00
13,81,Georgia,Crisp County,2.00,,,
13,83,Georgia,Dade County,,,1.00,
13,85,Georgia,Dawson County,,,3.00,
13,87,Georgia,Decatur County,,,,
13,89,Georgia,DeKalb County,12.00,,3.00,10.00
13,91,Georgia,Dodge County,1.00,,,
13,93,Georgia,Dooly County,,,,
13,95,Georgia,Dougherty County,1.00,,,
13,97,Georgia,Douglas County,1.00,,,
13,99,Georgia,Early County,,,,1.00
13,101,Georgia,Echols County,,,,
13,103,Georgia,Effingham County,1.00,,,
13,105,Georgia,Elbert County,,,,
13,107,Georgia,Emanuel County,,,,
13,109,Georgia,Evans County,,,,1.00
13,111,Georgia,Fannin County,,,,
13,113,Georgia,Fayette County,1.00,,2.00,4.00
13,115,Georgia,Floyd County,,,,
13,117,Georgia,Forsyth County,,,1.00,5.00
13,119,Georgia,Franklin County,,,,2.00
13,121,Georgia,Fulton County,7.00,,3.00,11.00
13,123,Georgia,Gilmer County,,,,
13,125,Georgia,Glascock County,,,,
13,127,Georgia,Glynn County,,,,
13,129,Georgia,Gordon County,1.00,,,
13,131,Georgia,Grady County,,,,
13,133,Georgia,Greene County,,,,
13,135,Georgia,Gwinnett County,2.00,1.00,,8.00
13,137,Georgia,Habersham County,1.00,,,
13,139,Georgia,Hall County,1.00,,2.00,4.00
13,141,Georgia,Hancock County,,,,
13,143,Georgia,Haralson County,,,,
13,145,Georgia,Harris County,,,,1.00
13,147,Georgia,Hart County,,,3.00,
13,149,Georgia,Heard County,,,,2.00
13,151,Georgia,Henry County,1.00,,1.00,10.00
13,153,Georgia,Houston County,2.00,,,7.00
13,155,Georgia,Irwin County,,,,
13,157,Georgia,Jackson County,1.00,,,
13,159,Georgia,Jasper County,,,,1.00
13,161,Georgia,Jeff Davis County,,,,
13,163,Georgia,Jefferson County,,,,
13,165,Georgia,Jenkins County,,,,
13,167,Georgia,Johnson County,,,,
13,169,Georgia,Jones County,1.00,,,1.00
13,171,Georgia,Lamar County,,,,
13,173,Georgia,Lanier County,,,,
13,175,Georgia,Laurens County,,,,3.00
13,177,Georgia,Lee County,,,,
13,179,Georgia,Liberty County,1.00,,,
13,181,Georgia,Lincoln County,,,,
13,183,Georgia,Long County,,,,
13,185,Georgia,Lowndes County,38.00,,,2.00
13,187,Georgia,Lumpkin County,,,1.00,
13,189,Georgia,McDuffie County,1.00,,,
13,191,Georgia,McIntosh County,,,,
13,193,Georgia,Macon County,,,,
13,195,Georgia,Madison County,3.00,,,
13,197,Georgia,Marion County,,,,
13,199,Georgia,Meriwether County,,,1.00,1.00
13,201,Georgia,Miller County,,,,1.00
13,205,Georgia,Mitchell County,,,,1.00
13,207,Georgia,Monroe County,2.00,,,
13,209,Georgia,Montgomery County,,,,
13,211,Georgia,Morgan County,,,,
13,213,Georgia,Murray County,,,,
13,215,Georgia,Muscogee County,3.00,,,1.00
13,217,Georgia,Newton County,1.00,,1.00,4.00
13,219,Georgia,Oconee County,,,,
13,221,Georgia,Oglethorpe County,1.00,,,
13,223,Georgia,Paulding County,,,,
13,225,Georgia,Peach County,2.00,,,1.00
13,227,Georgia,Pickens County,,,,
13,229,Georgia,Pierce County,,,,
13,231,Georgia,Pike County,2.00,,,1.00
13,233,Georgia,Polk County,,,,
13,235,Georgia,Pulaski County,,,,
13,237,Georgia,Putnam County,,,,
13,239,Georgia,Quitman County,,,,
13,241,Georgia,Rabun County,,,,1.00
13,243,Georgia,Randolph County,,,,
13,245,Georgia,Richmond County,32.00,,,
13,247,Georgia,Rockdale County,3.00,,2.00,2.00
13,249,Georgia,Schley County,,,,
13,251,Georgia,Screven County,,,,
13,253,Georgia,Seminole County,1.00,,,
13,255,Georgia,Spalding County,4.00,,1.00,
13,257,Georgia,Stephens County,1.00,,1.00,
13,259,Georgia,Stewart County,,,,
13,261,Georgia,Sumter County,,,,2.00
13,263,Georgia,Talbot County,,,,
13,265,Georgia,Taliaferro County,,,,
13,267,Georgia,Tattnall County,1.00,,,1.00
13,269,Georgia,Taylor County,,,,1.00
13,271,Georgia,Telfair County,,,,
13,273,Georgia,Terrell County,2.00,,,
13,275,Georgia,Thomas County,2.00,,,1.00
13,277,Georgia,Tift County,,,,
13,279,Georgia,Toombs County,,,,1.00
13,281,Georgia,Towns County,,,,
13,283,Georgia,Treutlen County,,,,
13,285,Georgia,Troup County,,1.00,,2.00
13,287,Georgia,Turner County,,,,
13,289,Georgia,Twiggs County,1.00,,,
13,291,Georgia,Union County,,,,
13,293,Georgia,Upson County,3.00,,,
13,295,Georgia,Walker County,,,,2.00
13,297,Georgia,Walton County,1.00,,,1.00
13,299,Georgia,Ware County,,,,
13,301,Georgia,Warren County,,,,
13,303,Georgia,Washington County,,,,1.00
13,305,Georgia,Wayne County,1.00,,1.00,
13,307,Georgia,Webster County,,,,
13,309,Georgia,Wheeler County,2.00,,,
13,311,Georgia,White County,,,,
13,313,Georgia,Whitfield County,,,,
13,315,Georgia,Wilcox County,,,,
13,317,Georgia,Wilkes County,1.00,,,
13,319,Georgia,Wilkinson County,1.00,,,
13,321,Georgia,Worth County,,,,
15,0,Hawaii,Hawaii,,,,
15,1,Hawaii,Hawaii County,1.00,,,
15,3,Hawaii,Honolulu County,1.00,,,
15,5,Hawaii,Kalawao County,,,,
15,7,Hawaii,Kauai County,2.00,,,
15,9,Hawaii,Maui County,,,,
16,0,Idaho,Idaho,,,1.00,
16,1,Idaho,Ada County,1.00,4.00,4.00,4.00
16,3,Idaho,Adams County,,1.00,,
16,5,Idaho,Bannock County,,,1.00,1.00
16,7,Idaho,Bear Lake County,,,,1.00
16,9,Idaho,Benewah County,,,,1.00
16,11,Idaho,Bingham County,1.00,,,2.00
16,13,Idaho,Blaine County,,3.00,2.00,1.00
16,15,Idaho,Boise County,1.00,,,
16,17,Idaho,Bonner County,,,3.00,1.00
16,19,Idaho,Bonneville County,,1.00,1.00,4.00
16,21,Idaho,Boundary County,,2.00,1.00,
16,23,Idaho,Butte County,,,,
16,25,Idaho,Camas County,,,,
16,27,Idaho,Canyon County,,1.00,5.00,5.00
16,29,Idaho,Caribou County,,,,
16,31,Idaho,Cassia County,,,,
16,33,Idaho,Clark County,,,,
16,35,Idaho,Clearwater County,,,,
16,37,Idaho,Custer County,,,,
16,39,Idaho,Elmore County,,,,1.00
16,41,Idaho,Franklin County,,,,
16,43,Idaho,Fremont County,,,,
16,45,Idaho,Gem County,1.00,2.00,,
16,47,Idaho,Gooding County,,,,
16,49,Idaho,Idaho County,,2.00,1.00,1.00
16,51,Idaho,Jefferson County,,,,
16,53,Idaho,Jerome County,,,,
16,55,Idaho,Kootenai County,,1.00,2.00,4.00
16,57,Idaho,Latah County,,3.00,,1.00
16,59,Idaho,Lemhi County,,1.00,,
16,61,Idaho,Lewis County,,,,
16,63,Idaho,Lincoln County,,,,
16,65,Idaho,Madison County,1.00,,1.00,
16,67,Idaho,Minidoka County,,,,
16,69,Idaho,Nez Perce County,1.00,1.00,,
